id,factor_id/id,item_id/id,score_id/id,note,state
vote_283,factor_944,item_2,score_1,,valid
vote_284,factor_938,item_2,score_1,,valid
vote_285,factor_936,item_2,score_1,,valid
vote_286,factor_937,item_2,score_1,,valid
vote_287,factor_958,item_2,score_1,,valid
vote_289,factor_959,item_2,score_1,,valid
vote_290,factor_960,item_2,score_1,,valid
vote_291,factor_956,item_2,score_1,,valid
vote_292,factor_957,item_2,score_1,,valid
vote_294,factor_953,item_2,score_1,,valid
vote_296,factor_951,item_2,score_1,,valid
vote_298,factor_948,item_2,score_1,,valid
vote_299,factor_946,item_2,score_1,,valid
vote_300,factor_945,item_2,score_1,,valid
vote_301,factor_947,item_2,score_1,,valid
vote_302,factor_966,item_2,score_1,,valid
vote_303,factor_968,item_2,score_1,,valid
vote_305,factor_965,item_2,score_1,,valid
vote_306,factor_967,item_2,score_1,,valid
vote_307,factor_341,item_2,score_1,,valid
vote_308,factor_343,item_2,score_1,,valid
vote_309,factor_342,item_2,score_1,,valid
vote_310,factor_344,item_2,score_1,,valid
vote_311,factor_340,item_2,score_1,,valid
vote_312,factor_352,item_2,score_1,,valid
vote_313,factor_350,item_2,score_1,,valid
vote_314,factor_351,item_2,score_1,,valid
vote_315,factor_353,item_2,score_1,,valid
vote_316,factor_347,item_2,score_1,,valid
vote_317,factor_346,item_2,score_1,,valid
vote_318,factor_348,item_2,score_1,,valid
vote_319,factor_330,item_2,score_1,,valid
vote_320,factor_332,item_2,score_1,,valid
vote_321,factor_331,item_2,score_1,,valid
vote_322,factor_325,item_2,score_1,,valid
vote_323,factor_328,item_2,score_1,,valid
vote_324,factor_327,item_2,score_1,,valid
vote_325,factor_326,item_2,score_1,,valid
vote_326,factor_320,item_2,score_3,,valid
vote_327,factor_323,item_2,score_1,,valid
vote_329,factor_322,item_2,score_1,,valid
vote_330,factor_962,item_2,score_1,,valid
vote_331,factor_964,item_2,score_1,,valid
vote_332,factor_963,item_2,score_1,,valid
vote_333,factor_336,item_2,score_1,,valid
vote_3701,factor_897,item_6,score_3,"",draft
vote_3313,factor_508,item_4,score_3,"",valid
vote_3557,factor_934,item_6,score_3,"",draft
vote_3702,factor_900,item_6,score_3,"",draft
vote_3703,factor_898,item_6,score_3,"",draft
vote_4684,factor_914,item_6,score_3,"",draft
vote_4685,factor_915,item_6,score_3,"",draft
vote_4686,factor_916,item_6,score_3,"",draft
vote_3007,factor_1024,item_2,score_3,"",valid
vote_3008,factor_1025,item_2,score_1,"",valid
vote_3009,factor_1026,item_2,score_1,"",valid
vote_3010,factor_1027,item_2,score_1,"",valid
vote_3011,factor_1028,item_2,score_1,"",valid
vote_3012,factor_1029,item_2,score_3,"",valid
vote_3013,factor_1030,item_2,score_3,"",valid
vote_3014,factor_1031,item_2,score_3,"",valid
vote_3015,factor_1032,item_2,score_1,"",valid
vote_3016,factor_1033,item_2,score_1,"",valid
vote_3017,factor_1034,item_2,score_3,"",valid
vote_3018,factor_1036,item_2,score_1,"",valid
vote_3019,factor_1037,item_2,score_1,"",valid
vote_3020,factor_1038,item_2,score_1,"",valid
vote_3021,factor_1035,item_2,score_3,"",valid
vote_3022,factor_495,item_1,score_3,"",valid
vote_334,factor_337,item_2,score_1,,valid
vote_336,factor_17,item_2,score_1,,valid
vote_337,factor_15,item_2,score_1,,valid
vote_338,factor_20,item_2,score_1,,valid
vote_339,factor_19,item_2,score_1,,valid
vote_340,factor_18,item_2,score_1,,valid
vote_341,factor_16,item_2,score_1,,valid
vote_342,factor_22,item_2,score_1,,valid
vote_343,factor_24,item_2,score_1,,valid
vote_344,factor_25,item_2,score_1,,valid
vote_345,factor_23,item_2,score_1,,valid
vote_346,factor_12,item_2,score_1,,valid
vote_347,factor_13,item_2,score_1,,valid
vote_348,factor_6,item_2,score_1,,valid
vote_349,factor_5,item_2,score_1,,valid
vote_350,factor_7,item_2,score_1,,valid
vote_351,factor_8,item_2,score_1,,valid
vote_352,factor_9,item_2,score_1,,valid
vote_353,factor_10,item_2,score_1,,valid
vote_354,factor_257,item_2,score_3,,valid
vote_355,factor_859,item_2,score_1,,valid
vote_356,factor_281,item_2,score_1,,valid
vote_367,factor_866,item_2,score_1,,valid
vote_368,factor_287,item_2,score_1,,valid
vote_369,factor_284,item_2,score_1,,valid
vote_370,factor_285,item_2,score_1,,valid
vote_371,factor_286,item_2,score_1,,valid
vote_372,factor_296,item_2,score_1,,valid
vote_373,factor_295,item_2,score_1,,valid
vote_374,factor_293,item_2,score_1,,valid
vote_375,factor_763,item_2,score_1,,valid
vote_376,factor_761,item_2,score_1,,valid
vote_377,factor_762,item_2,score_1,,valid
vote_378,factor_757,item_2,score_1,,valid
vote_379,factor_755,item_2,score_1,,valid
vote_380,factor_756,item_2,score_1,,valid
vote_381,factor_758,item_2,score_1,,valid
vote_382,factor_759,item_2,score_1,,valid
vote_383,factor_766,item_2,score_1,,valid
vote_384,factor_767,item_2,score_1,,valid
vote_386,factor_769,item_2,score_1,,valid
vote_387,factor_765,item_2,score_1,,valid
vote_388,factor_750,item_2,score_1,,valid
vote_389,factor_752,item_2,score_1,,valid
vote_390,factor_748,item_2,score_1,,valid
vote_391,factor_749,item_2,score_1,,valid
vote_392,factor_751,item_2,score_1,,valid
vote_393,factor_743,item_2,score_1,,valid
vote_394,factor_742,item_2,score_1,,valid
vote_395,factor_746,item_2,score_1,,valid
vote_396,factor_745,item_2,score_1,,valid
vote_397,factor_744,item_2,score_1,,valid
vote_398,factor_740,item_2,score_1,,valid
vote_399,factor_736,item_2,score_1,,valid
vote_400,factor_739,item_2,score_1,,valid
vote_401,factor_738,item_2,score_1,,valid
vote_402,factor_737,item_2,score_1,,valid
vote_403,factor_113,item_2,score_1,,valid
vote_404,factor_112,item_2,score_1,,valid
vote_407,factor_116,item_2,score_1,,valid
vote_409,factor_91,item_2,score_1,,valid
vote_410,factor_92,item_2,score_1,,valid
vote_411,factor_90,item_2,score_1,,valid
vote_412,factor_105,item_2,score_1,,valid
vote_413,factor_106,item_2,score_1,,valid
vote_414,factor_107,item_2,score_1,,valid
vote_416,factor_110,item_2,score_1,,valid
vote_3558,factor_878,item_6,score_3,"",draft
vote_3559,factor_879,item_6,score_3,"",draft
vote_3560,factor_882,item_6,score_3,"",draft
vote_3561,factor_883,item_6,score_3,"",draft
vote_3023,factor_645,item_5,score_3,"",valid
vote_3024,factor_647,item_5,score_2,"",valid
vote_3025,factor_648,item_5,score_3,"",valid
vote_3026,factor_649,item_5,score_2,"",valid
vote_417,factor_108,item_2,score_1,,valid
vote_418,factor_96,item_2,score_1,,valid
vote_419,factor_94,item_2,score_1,,valid
vote_421,factor_95,item_2,score_1,,valid
vote_422,factor_101,item_2,score_1,,valid
vote_423,factor_99,item_2,score_1,,valid
vote_424,factor_103,item_2,score_1,,valid
vote_425,factor_100,item_2,score_1,,valid
vote_427,factor_387,item_2,score_1,,valid
vote_428,factor_403,item_2,score_1,,valid
vote_429,factor_398,item_2,score_3,,valid
vote_430,factor_397,item_2,score_3,,valid
vote_431,factor_396,item_2,score_1,,valid
vote_432,factor_395,item_2,score_1,,valid
vote_433,factor_394,item_2,score_3,,valid
vote_434,factor_399,item_2,score_1,,valid
vote_435,factor_400,item_2,score_1,,valid
vote_436,factor_401,item_2,score_1,,valid
vote_437,factor_428,item_2,score_3,,valid
vote_438,factor_429,item_2,score_3,,valid
vote_439,factor_427,item_2,score_3,,valid
vote_441,factor_424,item_2,score_1,,valid
vote_442,factor_420,item_2,score_1,,valid
vote_443,factor_421,item_2,score_3,,valid
vote_444,factor_422,item_2,score_3,,valid
vote_446,factor_416,item_2,score_1,,valid
vote_447,factor_417,item_2,score_3,,valid
vote_448,factor_418,item_2,score_1,,valid
vote_449,factor_419,item_2,score_1,,valid
vote_451,factor_411,item_2,score_3,,valid
vote_452,factor_413,item_2,score_1,,valid
vote_453,factor_414,item_2,score_3,,valid
vote_454,factor_408,item_2,score_3,,valid
vote_455,factor_409,item_2,score_1,,valid
vote_456,factor_407,item_2,score_3,,valid
vote_457,factor_406,item_2,score_1,,valid
vote_458,factor_468,item_2,score_3,,valid
vote_467,factor_471,item_2,score_3,,valid
vote_468,factor_473,item_2,score_3,,valid
vote_469,factor_375,item_2,score_1,,valid
vote_470,factor_373,item_2,score_1,,valid
vote_471,factor_374,item_2,score_1,,valid
vote_472,factor_376,item_2,score_1,,valid
vote_473,factor_371,item_2,score_1,,valid
vote_474,factor_370,item_2,score_1,,valid
vote_475,factor_369,item_2,score_1,,valid
vote_476,factor_365,item_2,score_1,,valid
vote_477,factor_367,item_2,score_3,,valid
vote_478,factor_366,item_2,score_1,,valid
vote_479,factor_382,item_2,score_1,,valid
vote_480,factor_384,item_2,score_1,,valid
vote_481,factor_383,item_2,score_1,,valid
vote_482,factor_378,item_2,score_1,,valid
vote_483,factor_379,item_2,score_1,,valid
vote_484,factor_380,item_2,score_1,,valid
vote_485,factor_391,item_2,score_1,,valid
vote_486,factor_390,item_2,score_1,,valid
vote_487,factor_389,item_2,score_3,,valid
vote_488,factor_392,item_2,score_1,,valid
vote_489,factor_830,item_2,score_1,,valid
vote_491,factor_828,item_2,score_3,,valid
vote_492,factor_827,item_2,score_3,,valid
vote_493,factor_826,item_2,score_1,,valid
vote_494,factor_825,item_2,score_1,,valid
vote_495,factor_824,item_2,score_3,,valid
vote_496,factor_831,item_2,score_3,,valid
vote_497,factor_452,item_2,score_1,,valid
vote_498,factor_453,item_2,score_1,,valid
vote_500,factor_439,item_2,score_3,,valid
vote_501,factor_440,item_2,score_3,,valid
vote_502,factor_442,item_2,score_3,,valid
vote_503,factor_441,item_2,score_3,,valid
vote_504,factor_458,item_2,score_3,,valid
vote_505,factor_456,item_2,score_1,,valid
vote_506,factor_457,item_2,score_1,,valid
vote_507,factor_436,item_2,score_1,,valid
vote_508,factor_434,item_2,score_1,,valid
vote_509,factor_435,item_2,score_1,,valid
vote_510,factor_433,item_2,score_1,,valid
vote_511,factor_437,item_2,score_1,,valid
vote_512,factor_583,item_2,score_3,,valid
vote_513,factor_584,item_2,score_3,,valid
vote_514,factor_585,item_2,score_3,,valid
vote_515,factor_573,item_2,score_3,,valid
vote_516,factor_576,item_2,score_1,,valid
vote_517,factor_575,item_2,score_3,,valid
vote_518,factor_574,item_2,score_3,,valid
vote_519,factor_589,item_2,score_1,,valid
vote_520,factor_587,item_2,score_1,,valid
vote_521,factor_588,item_2,score_1,,valid
vote_522,factor_591,item_2,score_1,,valid
vote_523,factor_590,item_2,score_1,,valid
vote_3027,factor_836,item_2,score_3,"",valid
vote_524,factor_568,item_2,score_1,,valid
vote_525,factor_570,item_2,score_1,,valid
vote_526,factor_571,item_2,score_1,,valid
vote_527,factor_567,item_2,score_1,,valid
vote_528,factor_569,item_2,score_1,,valid
vote_529,factor_580,item_2,score_1,,valid
vote_530,factor_581,item_2,score_1,,valid
vote_531,factor_579,item_2,score_1,,valid
vote_533,factor_834,item_2,score_3,,valid
vote_534,factor_832,item_2,score_3,,valid
vote_536,factor_841,item_2,score_1,,valid
vote_537,factor_840,item_2,score_1,,valid
vote_538,factor_839,item_2,score_1,,valid
vote_539,factor_838,item_2,score_1,,valid
vote_540,factor_837,item_2,score_1,,valid
vote_542,factor_843,item_2,score_3,,valid
vote_544,factor_833,item_2,score_3,,valid
vote_545,factor_854,item_2,score_3,,valid
vote_547,factor_852,item_2,score_1,,valid
vote_548,factor_851,item_2,score_1,,valid
vote_549,factor_850,item_2,score_1,,valid
vote_550,factor_848,item_2,score_1,,valid
vote_551,factor_847,item_2,score_3,,valid
vote_552,factor_857,item_2,score_1,,valid
vote_553,factor_856,item_2,score_1,,valid
vote_554,factor_855,item_2,score_1,,valid
vote_556,factor_788,item_2,score_2,,valid
vote_557,factor_785,item_2,score_2,,valid
vote_558,factor_782,item_2,score_2,,valid
vote_559,factor_783,item_2,score_2,,valid
vote_560,factor_784,item_2,score_2,,valid
vote_567,factor_790,item_2,score_2,,valid
vote_568,factor_789,item_2,score_2,,valid
vote_570,factor_803,item_2,score_2,,valid
vote_571,factor_802,item_2,score_2,,valid
vote_572,factor_801,item_2,score_2,,valid
vote_574,factor_799,item_2,score_2,,valid
vote_575,factor_798,item_2,score_2,,valid
vote_576,factor_797,item_2,score_2,,valid
vote_577,factor_796,item_2,score_2,,valid
vote_578,factor_808,item_2,score_1,,valid
vote_579,factor_806,item_2,score_1,,valid
vote_580,factor_805,item_2,score_1,,valid
vote_581,factor_804,item_2,score_1,,valid
vote_582,factor_807,item_2,score_1,,valid
vote_583,factor_810,item_2,score_1,,valid
vote_584,factor_812,item_2,score_1,,valid
vote_585,factor_814,item_2,score_1,,valid
vote_587,factor_815,item_2,score_1,,valid
vote_590,factor_823,item_2,score_1,,valid
vote_591,factor_822,item_2,score_1,,valid
vote_592,factor_821,item_2,score_1,,valid
vote_593,factor_820,item_2,score_1,,valid
vote_594,factor_819,item_2,score_1,,valid
vote_595,factor_817,item_2,score_1,,valid
vote_596,factor_447,item_2,score_3,,valid
vote_598,factor_448,item_2,score_3,,valid
vote_599,factor_771,item_2,score_3,,valid
vote_600,factor_773,item_2,score_3,,valid
vote_601,factor_774,item_2,score_3,,valid
vote_602,factor_770,item_2,score_3,,valid
vote_603,factor_772,item_2,score_1,,valid
vote_604,factor_635,item_2,score_1,,valid
vote_605,factor_633,item_2,score_1,,valid
vote_606,factor_634,item_2,score_1,,valid
vote_607,factor_629,item_2,score_1,,valid
vote_608,factor_628,item_2,score_1,,valid
vote_609,factor_630,item_2,score_1,,valid
vote_610,factor_631,item_2,score_1,,valid
vote_611,factor_620,item_2,score_1,,valid
vote_612,factor_622,item_2,score_1,,valid
vote_613,factor_623,item_2,score_1,,valid
vote_614,factor_624,item_2,score_1,,valid
vote_615,factor_625,item_2,score_1,,valid
vote_616,factor_626,item_2,score_1,,valid
vote_617,factor_621,item_2,score_1,,valid
vote_618,factor_609,item_2,score_3,,valid
vote_619,factor_607,item_2,score_1,,valid
vote_620,factor_606,item_2,score_1,,valid
vote_621,factor_608,item_2,score_1,,valid
vote_622,factor_598,item_2,score_3,,valid
vote_623,factor_599,item_2,score_1,,valid
vote_624,factor_600,item_2,score_1,,valid
vote_625,factor_614,item_2,score_3,,valid
vote_626,factor_611,item_2,score_1,,valid
vote_627,factor_612,item_2,score_1,,valid
vote_628,factor_613,item_2,score_1,,valid
vote_629,factor_602,item_2,score_1,,valid
vote_630,factor_604,item_2,score_3,,valid
vote_631,factor_603,item_2,score_3,,valid
vote_632,factor_593,item_2,score_3,,valid
vote_633,factor_595,item_2,score_3,,valid
vote_634,factor_594,item_2,score_3,,valid
vote_635,factor_616,item_2,score_3,,valid
vote_636,factor_618,item_2,score_1,,valid
vote_637,factor_617,item_2,score_3,,valid
vote_638,factor_647,item_2,score_3,,valid
vote_639,factor_649,item_2,score_3,,valid
vote_640,factor_648,item_2,score_3,,valid
vote_4687,factor_904,item_6,score_3,"",draft
vote_3028,factor_1008,item_4,score_3,"",valid
vote_3029,factor_1009,item_4,score_3,"",valid
vote_641,factor_645,item_2,score_3,,valid
vote_642,factor_646,item_2,score_3,,valid
vote_644,factor_529,item_2,score_1,,valid
vote_645,factor_530,item_2,score_1,,valid
vote_646,factor_515,item_2,score_3,,valid
vote_647,factor_517,item_2,score_3,,valid
vote_648,factor_516,item_2,score_3,,valid
vote_650,factor_513,item_2,score_3,,valid
vote_651,factor_524,item_2,score_1,,valid
vote_653,factor_526,item_2,score_3,,valid
vote_654,factor_527,item_2,score_1,,valid
vote_655,factor_523,item_2,score_3,,valid
vote_656,factor_519,item_2,score_1,,valid
vote_658,factor_521,item_2,score_3,,valid
vote_659,factor_638,item_2,score_3,,valid
vote_660,factor_637,item_2,score_1,,valid
vote_661,factor_643,item_2,score_1,,valid
vote_662,factor_642,item_2,score_1,,valid
vote_664,factor_639,item_2,score_1,,valid
vote_665,factor_640,item_2,score_1,,valid
vote_667,factor_776,item_2,score_3,,valid
vote_668,factor_489,item_2,score_1,,valid
vote_669,factor_488,item_2,score_1,,valid
vote_670,factor_486,item_2,score_1,,valid
vote_671,factor_487,item_2,score_1,,valid
vote_672,factor_490,item_2,score_1,,valid
vote_673,factor_502,item_2,score_1,,valid
vote_674,factor_500,item_2,score_3,,valid
vote_675,factor_501,item_2,score_3,,valid
vote_676,factor_809,item_2,score_1,,valid
vote_677,factor_495,item_2,score_1,,valid
vote_678,factor_494,item_2,score_1,,valid
vote_679,factor_493,item_2,score_1,,valid
vote_680,factor_492,item_2,score_1,,valid
vote_681,factor_496,item_2,score_1,,valid
vote_682,factor_497,item_2,score_3,,valid
vote_683,factor_498,item_2,score_3,,valid
vote_684,factor_650,item_2,score_1,,valid
vote_685,factor_479,item_2,score_3,,valid
vote_686,factor_478,item_2,score_3,,valid
vote_687,factor_477,item_2,score_3,,valid
vote_688,factor_483,item_2,score_3,,valid
vote_689,factor_484,item_2,score_3,,valid
vote_690,factor_481,item_2,score_3,,valid
vote_691,factor_482,item_2,score_3,,valid
vote_692,factor_562,item_2,score_3,,valid
vote_693,factor_561,item_2,score_3,,valid
vote_694,factor_560,item_2,score_3,,valid
vote_695,factor_546,item_2,score_1,,valid
vote_696,factor_545,item_2,score_1,,valid
vote_697,factor_547,item_2,score_1,,valid
vote_698,factor_549,item_2,score_1,,valid
vote_699,factor_548,item_2,score_1,,valid
vote_700,factor_551,item_2,score_3,,valid
vote_701,factor_550,item_2,score_3,,valid
vote_702,factor_565,item_2,score_1,,valid
vote_703,factor_564,item_2,score_1,,valid
vote_704,factor_553,item_2,score_3,,valid
vote_705,factor_557,item_2,score_3,,valid
vote_706,factor_555,item_2,score_1,,valid
vote_707,factor_556,item_2,score_1,,valid
vote_708,factor_554,item_2,score_1,,valid
vote_709,factor_540,item_2,score_3,,valid
vote_710,factor_539,item_2,score_3,,valid
vote_711,factor_541,item_2,score_3,,valid
vote_712,factor_538,item_2,score_3,,valid
vote_713,factor_542,item_2,score_1,,valid
vote_714,factor_910,item_1,score_3,,valid
vote_715,factor_909,item_1,score_3,,valid
vote_716,factor_911,item_1,score_3,,valid
vote_717,factor_912,item_1,score_1,,valid
vote_718,factor_924,item_1,score_3,,valid
vote_719,factor_925,item_1,score_3,,valid
vote_720,factor_926,item_1,score_3,,valid
vote_721,factor_927,item_1,score_3,,valid
vote_722,factor_928,item_1,score_3,,valid
vote_723,factor_929,item_1,score_3,,valid
vote_724,factor_930,item_1,score_3,,valid
vote_725,factor_921,item_1,score_3,,valid
vote_726,factor_922,item_1,score_3,,valid
vote_727,factor_923,item_1,score_3,,valid
vote_728,factor_299,item_1,score_3,,valid
vote_729,factor_300,item_1,score_3,,valid
vote_730,factor_301,item_1,score_3,,valid
vote_731,factor_302,item_1,score_3,,valid
vote_732,factor_303,item_1,score_3,,valid
vote_733,factor_305,item_1,score_3,,valid
vote_734,factor_306,item_1,score_3,,valid
vote_735,factor_898,item_1,score_3,,valid
vote_736,factor_897,item_1,score_3,,valid
vote_737,factor_900,item_1,score_3,,valid
vote_738,factor_899,item_1,score_3,,valid
vote_739,factor_905,item_1,score_3,,valid
vote_740,factor_907,item_1,score_3,,valid
vote_741,factor_904,item_1,score_3,,valid
vote_742,factor_903,item_1,score_3,,valid
vote_3706,factor_299,item_6,score_3,"",draft
vote_3707,factor_519,item_6,score_3,"",draft
vote_3317,factor_936,item_2,score_3,"",valid
vote_3318,factor_399,item_2,score_3,"",valid
vote_3030,factor_272,item_4,score_3,"",valid
vote_3708,factor_520,item_6,score_3,"",draft
vote_3031,factor_275,item_4,score_3,"",valid
vote_3032,factor_276,item_4,score_3,"",valid
vote_3033,factor_277,item_4,score_3,"",valid
vote_3034,factor_272,item_2,score_3,"",valid
vote_743,factor_902,item_1,score_3,,valid
vote_744,factor_906,item_1,score_3,,valid
vote_745,factor_935,item_1,score_3,,valid
vote_746,factor_934,item_1,score_3,,valid
vote_747,factor_932,item_1,score_3,,valid
vote_748,factor_933,item_1,score_3,,valid
vote_749,factor_871,item_1,score_1,,valid
vote_750,factor_870,item_1,score_3,,valid
vote_751,factor_869,item_1,score_3,,valid
vote_752,factor_873,item_1,score_3,,valid
vote_753,factor_872,item_1,score_3,,valid
vote_754,factor_868,item_1,score_3,,valid
vote_755,factor_867,item_1,score_3,,valid
vote_756,factor_874,item_1,score_1,,valid
vote_757,factor_875,item_1,score_1,,valid
vote_758,factor_876,item_1,score_1,,valid
vote_759,factor_877,item_1,score_1,,valid
vote_760,factor_882,item_1,score_1,,valid
vote_761,factor_878,item_1,score_1,,valid
vote_762,factor_880,item_1,score_1,,valid
vote_763,factor_881,item_1,score_1,,valid
vote_764,factor_883,item_1,score_1,,valid
vote_777,factor_914,item_1,score_3,,valid
vote_778,factor_915,item_1,score_3,,valid
vote_779,factor_916,item_1,score_3,,valid
vote_780,factor_917,item_1,score_3,,valid
vote_781,factor_918,item_1,score_3,,valid
vote_782,factor_732,item_1,score_3,,valid
vote_783,factor_730,item_1,score_3,,valid
vote_784,factor_731,item_1,score_3,,valid
vote_785,factor_733,item_1,score_3,,valid
vote_786,factor_664,item_1,score_3,,valid
vote_787,factor_665,item_1,score_3,,valid
vote_788,factor_668,item_1,score_3,,valid
vote_789,factor_667,item_1,score_3,,valid
vote_791,factor_678,item_1,score_3,,valid
vote_792,factor_680,item_1,score_3,,valid
vote_793,factor_679,item_1,score_3,,valid
vote_795,factor_657,item_1,score_3,,valid
vote_796,factor_658,item_1,score_3,,valid
vote_798,factor_660,item_1,score_3,,valid
vote_799,factor_661,item_1,score_3,,valid
vote_800,factor_662,item_1,score_3,,valid
vote_801,factor_652,item_1,score_3,,valid
vote_802,factor_654,item_1,score_3,,valid
vote_803,factor_653,item_1,score_3,,valid
vote_804,factor_655,item_1,score_3,,valid
vote_805,factor_674,item_1,score_3,,valid
vote_806,factor_670,item_1,score_3,,valid
vote_807,factor_675,item_1,score_3,,valid
vote_808,factor_672,item_1,score_3,,valid
vote_809,factor_673,item_1,score_3,,valid
vote_810,factor_671,item_1,score_3,,valid
vote_812,factor_710,item_1,score_3,,valid
vote_813,factor_711,item_1,score_3,,valid
vote_814,factor_712,item_1,score_3,,valid
vote_815,factor_707,item_1,score_3,,valid
vote_816,factor_709,item_1,score_3,,valid
vote_817,factor_717,item_1,score_3,,valid
vote_818,factor_715,item_1,score_3,,valid
vote_819,factor_721,item_1,score_3,,valid
vote_820,factor_720,item_1,score_3,,valid
vote_821,factor_719,item_1,score_3,,valid
vote_823,factor_716,item_1,score_3,,valid
vote_824,factor_727,item_1,score_1,,valid
vote_825,factor_728,item_1,score_3,,valid
vote_826,factor_723,item_1,score_3,,valid
vote_827,factor_724,item_1,score_3,,valid
vote_828,factor_725,item_1,score_3,,valid
vote_829,factor_726,item_1,score_1,,valid
vote_830,factor_702,item_1,score_3,,valid
vote_831,factor_703,item_1,score_3,,valid
vote_832,factor_705,item_1,score_3,,valid
vote_833,factor_704,item_1,score_3,,valid
vote_834,factor_701,item_1,score_3,,valid
vote_835,factor_700,item_1,score_3,,valid
vote_836,factor_688,item_1,score_3,,valid
vote_837,factor_683,item_1,score_3,,valid
vote_838,factor_687,item_1,score_3,,valid
vote_840,factor_682,item_1,score_3,,valid
vote_841,factor_685,item_1,score_3,,valid
vote_842,factor_686,item_1,score_3,,valid
vote_843,factor_696,item_1,score_3,,valid
vote_844,factor_694,item_1,score_3,,valid
vote_846,factor_697,item_1,score_3,,valid
vote_847,factor_698,item_1,score_3,,valid
vote_848,factor_692,item_1,score_3,,valid
vote_849,factor_693,item_1,score_3,,valid
vote_850,factor_239,item_1,score_3,,valid
vote_851,factor_240,item_1,score_3,,valid
vote_4688,factor_921,item_6,score_3,"",draft
vote_3319,factor_974,item_2,score_3,"",valid
vote_3562,factor_1047,item_6,score_3,"",draft
vote_3035,factor_275,item_2,score_3,"",valid
vote_3036,factor_276,item_2,score_3,"",valid
vote_3037,factor_277,item_2,score_3,"",valid
vote_852,factor_237,item_1,score_3,,valid
vote_855,factor_252,item_1,score_3,,valid
vote_856,factor_251,item_1,score_3,,valid
vote_857,factor_255,item_1,score_3,,valid
vote_858,factor_253,item_1,score_3,,valid
vote_860,factor_248,item_1,score_3,,valid
vote_863,factor_244,item_1,score_3,,valid
vote_864,factor_243,item_1,score_3,,valid
vote_865,factor_242,item_1,score_3,,valid
vote_866,factor_231,item_1,score_3,,valid
vote_871,factor_227,item_1,score_3,,valid
vote_872,factor_223,item_1,score_3,,valid
vote_873,factor_225,item_1,score_3,,valid
vote_874,factor_224,item_1,score_3,,valid
vote_875,factor_217,item_1,score_3,,valid
vote_877,factor_220,item_1,score_3,,valid
vote_878,factor_221,item_1,score_3,,valid
vote_879,factor_218,item_1,score_3,,valid
vote_880,factor_235,item_1,score_3,,valid
vote_881,factor_202,item_1,score_3,,valid
vote_882,factor_199,item_1,score_3,,valid
vote_883,factor_200,item_1,score_3,,valid
vote_884,factor_201,item_1,score_3,,valid
vote_885,factor_203,item_1,score_3,,valid
vote_886,factor_205,item_1,score_3,,valid
vote_887,factor_208,item_1,score_3,,valid
vote_888,factor_207,item_1,score_3,,valid
vote_889,factor_206,item_1,score_3,,valid
vote_890,factor_193,item_1,score_3,,valid
vote_891,factor_192,item_1,score_3,,valid
vote_892,factor_182,item_1,score_3,,valid
