id,name,parent_id/id,note,type,ponderation,state
factor_12,Waranties limit computation based on lots,factor_11,,criterion,1,open
factor_13,Automatic re-invoicing of products/services based on waranties,factor_11,,criterion,1,open
factor_14,Claims Management,factor_3,"
Ponderation Change Suggested by pssman(pssman@gmail.com). Value Changed from 1.0 to 1.1.",view,1.1,open
factor_15,Integrates customers claims management,factor_14,,criterion,1,open
factor_16,Integrates suppliers claims management,factor_14,,criterion,1,open
factor_17,Support for corrective and preventive actions,factor_14,,criterion,1,open
factor_18,Traceability of the discussion and actions on the claim,factor_14,,criterion,1,open
factor_19,"Attach claims to lots, products and partners",factor_14,,criterion,1,open
factor_20,Support for attached documents describing the problem,factor_14,,criterion,1,open
factor_21,Quality Management,factor_3,"
Ponderation Change Suggested by pssman(pssman@gmail.com). Value Changed from 1.0 to 1.1.",view,1.1,open
factor_22,Integration of the quality manual,factor_21,,criterion,1,open
factor_23,Visual integration of company processes as graphs,factor_21,,criterion,1,open
factor_24,Support for corrective and preventive actions,factor_21,,criterion,1,open
factor_25,Support for alerts and warnings based on customizable criterions,factor_21,,criterion,1,open
factor_26,Manufacturing Management,factor_1,"
Ponderation Change Suggested by nileshmandani(nileshmandani@gmail.com). Value Changed from 1.0 to 1.1.
Ponderation Change Suggested by shyamli(shyamlisingh86@gmail.com). Value Changed from 1.1 to 1.2.
Ponderation Change Suggested by miraj(miraj76@rogers.com). Value Changed from 1.2 to 1.3.
Ponderation Change Suggested by Scantu(S__cantu@hotmail.com). Value Changed from 1.3 to 1.4.
Ponderation Change Suggested by omarga(omarga@hotmail.com). Value Changed from 1.4 to 1.3.
Ponderation Change Suggested by xuanlapd(xuanlapd@gmail.com). Value Changed from 1.3 to 1.4.
Ponderation Change Suggested by ykastro(ykastro@gmail.com). Value Changed from 1.4 to 1.3.
Ponderation Change Suggested by jprebil(jim.prebil@us.fujitsu.com). Value Changed from 1.3 to 1.2.",view,1.2,open
factor_27,MRP I Features,factor_26,,view,1,open
factor_28,Multi-Level Bill of Materials support,factor_27,,criterion,1,open
factor_29,Make-to-Stock / Make-to-Order support,factor_27,,criterion,1,open
factor_30,Support for sales packs,factor_27,,criterion,1,open
factor_31,Support of substition of bill of materials,factor_27,,criterion,1,open
factor_32,Support for products of substitution,factor_27,,criterion,1,open
factor_33,Stock forecasts,factor_27,,criterion,1,open
factor_34,Batch Process,factor_26,,view,1,open
factor_36,Define substitutes for parts of process,factor_34,,criterion,1,open
factor_37,Batch analysis for economical production,factor_34,,criterion,1,open
factor_38,Adjustment of batches by region and/or country,factor_34,,criterion,1,open
factor_39,Batch sizes and underlying ingredients can be adjusted,factor_34,,criterion,1,open
factor_40,Ability to define down anticipated life,factor_34,,criterion,1,open
factor_41,Plant Maintance ,factor_26,,view,1,open
factor_42,Ability to create maintainance order,factor_41,"
Ponderation Change Suggested by wowas3423(was@was.com). Value Changed from 1.0 to 1.1.",criterion,1.1,open
factor_43,Preventive and breakdown maintainance supported,factor_41,"
Ponderation Change Suggested by wowas3423(was@was.com). Value Changed from 1.0 to 1.1.",criterion,1.1,open
factor_44,Quality,factor_26,,view,1,open
factor_45,Management of defective material,factor_44,"
Ponderation Change Suggested by wowas3423(was@was.com). Value Changed from 1.0 to 1.1.",criterion,1.1,open
factor_46,Quality in point per record in process,factor_44,"
Ponderation Change Suggested by wowas3423(was@was.com). Value Changed from 1.0 to 1.1.",criterion,1.1,open
factor_47,MRP II Features,factor_26,,view,1,open
factor_48,Master Production Schedule,factor_47,"
Ponderation Change Suggested by wowas3423(was@was.com). Value Changed from 1.0 to 1.1.",criterion,1.1,open
factor_49,Support for simulations of procurements,factor_47,"
Ponderation Change Suggested by wowas3423(was@was.com). Value Changed from 1.0 to 1.1.",criterion,1.1,open
factor_50,Products Flexibility,factor_26,,view,1,open
factor_51,Multi-variants supports in product and BoM,factor_50,,criterion,1,open
factor_52,Multi unit of measures for the same product,factor_50,,criterion,1,open
factor_53,Product configurator in sales orders,factor_50,,criterion,1,open
factor_54,Product configurator in manufacturing orders,factor_50,,criterion,1,open
factor_55,Best-Practices,factor_26,,view,1,open
factor_56,Just-in-Time Support,factor_55,,criterion,1,open
factor_57,Bar code support on products and lots,factor_55,,criterion,1,open
factor_58,Bar code support for operations,factor_55,,criterion,1,open
factor_59,Kanban support with stock level computation per location,factor_55,,criterion,1,open
factor_60,Central point of management for all exceptions,factor_55,,criterion,1,open
factor_61,Management of assembly lines per location,factor_55,,criterion,1,open
factor_62,Real time detection of bottle necks,factor_55,,criterion,1,open
factor_63,Flexibility,factor_26,,view,1,open
factor_64,Ability to easily cancel any scheduled operation,factor_63,,criterion,1,open
factor_65,"Ability to change all operations: product's quantities, routings, ...",factor_63,,criterion,1,open
factor_66,Reorganisation of proposed manufacturing orders and work orders,factor_63,,criterion,1,open
factor_67,Multiple plants management,factor_63,,criterion,1,open
factor_68,Lots management,factor_26,,view,1,open
factor_69,Bar code support for lots,factor_68,,criterion,1,open
factor_70,Lots on palets/boxes,factor_68,,criterion,1,open
factor_71,Lots number on manufactured products or raw materials,factor_68,,criterion,1,open
factor_72,Alerts and visibility on lots availability,factor_68,,criterion,1,open
factor_73,Reporting,factor_26,,view,1,open
factor_74,"Margins analysis on sales, products, manufacuting orders and affairs",factor_73,,criterion,1,open
factor_75,Dynamic graphs on workcenter usage,factor_73,,criterion,1,open
factor_76,Dynamic graphs on products and stock evolution,factor_73,,criterion,1,open
factor_77,Dynamic graphs on stocks forecasts,factor_73,,criterion,1,open
factor_78,Integration,factor_26,,view,1,open
factor_79,Manufacuring simulations in quotations or sales orders,factor_78,,criterion,1,open
factor_80,Sub-contracting of work orders management,factor_78,,criterion,1,open
factor_81,Integration of services in manufacturing orders,factor_78,,criterion,1,open
factor_82,Alerts on stock levels by email,factor_78,,criterion,1,open
factor_83,Ergonomy and ease of use,factor_26,,view,1,open
factor_84,Gantt manipulation of manufacturing orders,factor_83,,criterion,1,open
factor_85,Gantt manipulation of work orders,factor_83,,criterion,1,open
factor_86,Support for Drag&Drop for priorities and routings,factor_83,,criterion,1,open
factor_87,Document Management System,factor_1,"
Ponderation Change Suggested by nileshmandani(nileshmandani@gmail.com). Value Changed from 1.0 to 1.1.
Ponderation Change Suggested by shyamli(shyamlisingh86@gmail.com). Value Changed from 1.1 to 1.2.
Ponderation Revoked by Website Administrator. Value Changed from 1.2 to 1.1.
Ponderation Change Suggested by miraj(miraj76@rogers.com). Value Changed from 1.1 to 1.2.
Ponderation Change Suggested by fares(fareshantous@gmail.com). Value Changed from 1.2 to 1.1.
Ponderation Change Suggested by bourgeois(bbourgeois.mail@gmail.com). Value Changed from 1.1 to 1.0.
Ponderation Change Suggested by fp(fp@openerp.com). Value Changed from 1.0 to 0.9.
Ponderation Change Suggested by nogbou(gyao@netisgroup.net). Value Changed from 0.9 to 1.0.
Ponderation Change Suggested by xuanlapd(xuanlapd@gmail.com). Value Changed from 1.0 to 1.1.
Ponderation Change Suggested by Vanille(seveclem@gmail.com). Value Changed from 1.1 to 1.2.
Ponderation Change Suggested by shankerhrm(shankerhrm@gmail.com). Value Changed from 1.2 to 1.3.
Ponderation Change Suggested by asanteza(asante_za@yahoo.com). Value Changed from 1.3 to 1.4.
Ponderation Change Suggested by ykastro(ykastro@gmail.com). Value Changed from 1.4 to 1.3.
Ponderation Change Suggested by helronald(bedouii.helmi@gmail.com). Value Changed from 1.3 to 1.4.",view,1.4,open
factor_88,Classification of documents,factor_87,"
Ponderation Change Suggested by jerenveren(jerenveren@gmail.com). Value Changed from 1.0 to 1.1.",view,1.1,open
factor_89,Ability to attach documents on any resource,factor_88,,criterion,1,open
factor_90,Classification of attached documents into folders,factor_88,,criterion,1,open
factor_91,Automatic classification according to templates,factor_88,,criterion,1,open
factor_92,Automatic attachment of printed reports,factor_88,,criterion,1,open
factor_93,Best Practices,factor_87,,view,1,open
factor_94,Version control system,factor_93,,criterion,1,open
factor_95,History of modifications,factor_93,,criterion,1,open
factor_96,Configurable rules to automatically process documents,factor_93,,criterion,1,open
factor_98,Accessibility of documents,factor_87,,view,1,open
factor_99,FTP access,factor_98,"
Ponderation Change Suggested by ced(ced@ced.homedns.org). Value Changed from 1.0 to 0.9.",criterion,0.9,open
factor_100,Webdav access,factor_98,"
Ponderation Change Suggested by ced(ced@ced.homedns.org). Value Changed from 1.0 to 1.1.",criterion,1.1,open
factor_101,Web interface to browse documents,factor_98,,criterion,1,open
factor_103,Email integration for incoming documents,factor_98,,criterion,1,open
factor_111,Reporting,factor_87,,view,1,open
factor_112,Statistics on Document Management System usage,factor_111,"
Ponderation Change Suggested by ced(ced@ced.homedns.org). Value Changed from 1.0 to 0.9.",criterion,0.9,open
factor_113,Statistics on user's aceptability of the DMS,factor_111,"
Ponderation Change Suggested by ced(ced@ced.homedns.org). Value Changed from 1.0 to 0.9.",criterion,0.9,open
factor_114,Integration,factor_87,,view,1,open
factor_116,Outlook integration to quickly add or get documents from application,factor_114,,criterion,1,open
factor_117,Single point of security management for DMS and ERP,factor_114,,criterion,1,open
factor_1042,Search of documents,factor_87,,view,1,open
factor_105,Automatic indexation of Microsoft Office files contents,factor_1042,,criterion,1,open
factor_106,Automatic indexation of OpenOffice files contents,factor_1042,"
Ponderation Change Suggested by ced(ced@ced.homedns.org). Value Changed from 1.0 to 0.9.",criterion,0.9,open
factor_107,Automatic indexation of PDF's files contents,factor_1042,,criterion,1,open
factor_108,Automatic indexation of images content (OCR),factor_1042,,criterion,1,open
factor_109,"Meta data support: project, account, user, status, version, ...",factor_1042,,criterion,1,open
factor_110,"Search on content, metadata",factor_1042,,criterion,1,open
factor_118,Purchase Management,factor_1,"
Ponderation Change Suggested by nileshmandani(nileshmandani@gmail.com). Value Changed from 1.0 to 1.1.
Ponderation Change Suggested by shyamli(shyamlisingh86@gmail.com). Value Changed from 1.1 to 1.2.
Ponderation Change Suggested by miraj(miraj76@rogers.com). Value Changed from 1.2 to 1.3.
Ponderation Change Suggested by fares(fareshantous@gmail.com). Value Changed from 1.3 to 1.4.
Ponderation Change Suggested by xuanlapd(xuanlapd@gmail.com). Value Changed from 1.4 to 1.5.
Ponderation Change Suggested by jprebil(jim.prebil@us.fujitsu.com). Value Changed from 1.5 to 1.4.",view,1.4,open
factor_119,Automatic propositions of purchases,factor_118,,view,1,open
factor_120,Propositions based on 'Make to Order' requirements,factor_119,,criterion,1,open
factor_121,Propositions based on minimum stock rules,factor_119,,criterion,1,open
factor_123,Propositions based on Master Production Schedule,factor_119,,criterion,1,open
factor_124,Recurring purchase orders support,factor_119,,criterion,1,open
factor_125,Purchases facilities,factor_118,,view,1,open
factor_126,Support for Request for Quotations,factor_125,,criterion,1,open
factor_127,Open Purchase orders,factor_125,,criterion,1,open
factor_129,Ability to define alerts on supplier purchase,factor_125,,criterion,1,open
factor_130,Ability to link a purchase to a contract or an analytic account,factor_125,,criterion,1,open
factor_132,Ability to define recurring purchases,factor_125,,criterion,1,open
factor_1051,Ability to define limitation of approval of quotes,factor_125,,criterion,1,open
factor_133,Best-Practices,factor_118,,view,1,open
factor_134,Just-in-Time Support,factor_133,,criterion,1,open
factor_135,ISO9001 Suppliers evaluation,factor_133,,criterion,1,open
factor_136,Purchases negotiation,factor_118,,view,1,open
factor_137,Auction with suppliers,factor_136,,criterion,1,open
factor_138,Purchase Tenders,factor_136,,criterion,1,open
factor_140,Public offers,factor_136,,criterion,1,open
factor_141,Reporting,factor_118,,view,1,open
factor_142,"Visibility in the RfQ: stocks, latests prices, supplier quality",factor_141,,criterion,1,open
factor_143,Reports on suppliers purchases,factor_141,,criterion,1,open
factor_144,Reports on suppliers quality,factor_141,,criterion,1,open
factor_145,Prices Management,factor_118,,view,1,open
factor_146,Supplier's pricelists and promotion support,factor_145,,criterion,1,open
factor_147,Standard price support on products,factor_145,,criterion,1,open
factor_148,Average price support per product,factor_145,,criterion,1,open
factor_149,FIFO price support on products,factor_145,,criterion,1,open
factor_150,Sales prices can be automatically based on purchases prices,factor_145,,criterion,1,open
factor_151,End-of-year discount management,factor_145,,criterion,1,open
factor_152,Invoicing control,factor_118,,view,1,open
factor_153,Invoice control based on deliveries of products,factor_152,,criterion,1,open
factor_154,Invoice control based on deliveries of services,factor_152,,criterion,1,open
factor_155,Invoice control based on purchases,factor_152,,criterion,1,open
factor_156,Reconciliation process,factor_152,,criterion,1,open
factor_157,Supplier Portal on Web,factor_118,,view,1,open
factor_158,Ability to track requests for quotations,factor_157,,criterion,1,open
factor_159,Ability to put prices and/or confirm purchase orders,factor_157,,criterion,1,open
factor_160,Ability to confirm availabilities of products,factor_157,,criterion,1,open
factor_161,Ability to confirm delivery of products,factor_157,,criterion,1,open
factor_162,Ability to track invoices received and paid,factor_157,,criterion,1,open
factor_163,Ability to track received products,factor_157,,criterion,1,open
factor_164,Project Management,factor_1,"
Ponderation Change Suggested by nileshmandani(nileshmandani@gmail.com). Value Changed from 1.0 to 0.9.
Ponderation Change Suggested by miraj(miraj76@rogers.com). Value Changed from 0.9 to 1.0.
Ponderation Change Suggested by pssman(pssman@gmail.com). Value Changed from 1.0 to 1.1.
Ponderation Change Suggested by xuanlapd(xuanlapd@gmail.com). Value Changed from 1.1 to 1.2.",view,1.2,open
factor_165,Cross-project and project consolidation facilities,factor_164,,view,1,open
factor_166,Sub-project nesting for collaborative project hierarchal management,factor_165,,criterion,1,open
factor_167,Prioritisation and dependencies between projects,factor_165,,criterion,1,open
factor_168,Organisation of many project in one central place on web,factor_165,,criterion,1,open
factor_169,Real-time status on tasks achievement,factor_165,,criterion,1,open
factor_170,Template of projects and consolidation projects,factor_165,,criterion,1,open
factor_171,Project's Planning,factor_164,"
Ponderation Change Suggested by pssman(pssman@gmail.com). Value Changed from 1.0 to 1.1.",view,1.1,open
factor_172,Long-term planning,factor_171,,criterion,1,open
factor_173,Short-term planning,factor_171,,criterion,1,open
factor_174,Calendar view of tasks and deadlines,factor_171,,criterion,1,open
factor_175,Gantt view of the plannings,factor_171,,criterion,1,open
factor_176,Tasks organisation,factor_164,"
Ponderation Change Suggested by pssman(pssman@gmail.com). Value Changed from 1.0 to 1.1.
Ponderation Change Suggested by shankerhrm(shankerhrm@gmail.com). Value Changed from 1.1 to 1.2.",view,1.2,open
factor_177,Report to display a gantt chart on multiple projects,factor_176,,criterion,1,open
factor_178,Dynamic Gantt chart manipulation,factor_176,,criterion,1,open
factor_179,Dynamic Calendar of tasks,factor_176,,criterion,1,open
factor_180,Dynamic Perf chart manipulation,factor_176,,criterion,1,open
factor_181,Integration,factor_164,,view,1,open
factor_182,Integration between tasks and timesheets,factor_181,,criterion,1,open
factor_183,Creation of tasks based on sales orders,factor_181,,criterion,1,open
factor_184,Creation of tasks or projects based on manufacturing orders,factor_181,,criterion,1,open
factor_185,Integration with the enterprise calendar,factor_181,,criterion,1,open
factor_186,Thrid Party Integration,factor_164,,view,1,open
factor_187,Automatic sends of emails based on tasks events,factor_186,,criterion,1,open
factor_188,Automatic creation of tasks based on emails,factor_186,,criterion,1,open
factor_189,Document management to store information related to project,factor_186,,criterion,1,open
factor_190,Integration with Outlook and Thunderbird,factor_186,,criterion,1,open
factor_191,Methodologies,factor_164,,view,1,open
factor_192,SCRUM methodologies for IT companies,factor_191,,criterion,1,open
factor_193,Getting Things Done methodology,factor_191,,criterion,1,open
factor_194,Flexilibty,factor_164,,view,1,open
factor_195,Multi unit of measures: hour/day/week/month,factor_194,,criterion,1,open
factor_196,Reorganisation of projects'structure in real time,factor_194,,criterion,1,open
factor_197,Unlimited levels of project's structure,factor_194,,criterion,1,open
factor_198,Project's Financial integration,factor_164,"
Ponderation Change Suggested by pssman(pssman@gmail.com). Value Changed from 1.0 to 1.1.",view,1.1,open
factor_199,Integration of projects with budgets,factor_198,,criterion,1,open
factor_200,"Costs management including purchases, time of employee and expenses",factor_198,,criterion,1,open
factor_201,Financial indicators about profitability and invoicing,factor_198,,criterion,1,open
factor_202,Customers invoices forecasts based on projects,factor_198,,criterion,1,open
factor_203,Supplier costs forecasts based on projects,factor_198,,criterion,1,open
factor_204,Project's invoicing,factor_164,"
Ponderation Change Suggested by pssman(pssman@gmail.com). Value Changed from 1.0 to 1.1.",view,1.1,open
factor_205,Automatic invoicing based on time spent,factor_204,,criterion,1,open
factor_206,Automatic invoicing on fixed-price put on tasks,factor_204,,criterion,1,open
factor_207,Re-invoicing on costs on projects,factor_204,,criterion,1,open
factor_208,"Different rules for invoice price of costs, tasks or time",factor_204,,criterion,1,open
factor_209,Reporting,factor_164,"
Ponderation Change Suggested by pssman(pssman@gmail.com). Value Changed from 1.0 to 1.1.",view,1.1,open
factor_210,Availability of graphs based on tasks,factor_209,,criterion,1,open
factor_211,Availability of graphs based on projects,factor_209,,criterion,1,open
factor_212,Dashboards for projects users,factor_209,,criterion,1,open
factor_213,Dashboards for projects managager,factor_209,,criterion,1,open
factor_214,Business Intelligence,factor_209,,criterion,1,open
factor_215,Warehouse Management,factor_1,"
Ponderation Change Suggested by nileshmandani(nileshmandani@gmail.com). Value Changed from 1.0 to 1.1.
Ponderation Change Suggested by miraj(miraj76@rogers.com). Value Changed from 1.1 to 1.2.
Ponderation Change Suggested by npa(npa@tinyerp.com). Value Changed from 1.2 to 1.3.
Ponderation Change Suggested by xuanlapd(xuanlapd@gmail.com). Value Changed from 1.3 to 1.4.
Ponderation Change Suggested by ykastro(ykastro@gmail.com). Value Changed from 1.4 to 1.3.",view,1.3,open
factor_216,Products Routes,factor_215,,view,1,open
factor_217,Manage long delays in product's routes (seas/oceans/ports),factor_216,,criterion,1,open
factor_218,Manage product's route in the warehouse ,factor_216,,criterion,1,open
factor_219,Manage product's route in manufacturing chains,factor_216,,criterion,1,open
factor_220,Unlimitted number of locations for a warehouse,factor_216,,criterion,1,open
factor_221,"Locations defined in a hierarchy structure, with unlimited nested levels",factor_216,,criterion,1,open
factor_222,Products,factor_215,,view,1,open
factor_223,Support for variants with one dimension,factor_222,,criterion,1,open
factor_224,Support for variants with multiple dimensions,factor_222,,criterion,1,open
factor_225,Visibility of real stock and future stocks in product's form,factor_222,,criterion,1,open
factor_1049,Facility of Non-stock items,factor_222,,criterion,1,open
factor_226,Renting Products,factor_215,,view,1,open
factor_227,Manages products to be rent,factor_226,,criterion,1,open
factor_228,Planification of stock based on receptions of the product,factor_226,,criterion,1,open
factor_229,Manages stock at customer location,factor_226,,criterion,1,open
factor_230,Lots Management,factor_215,,view,1,open
factor_231,Support for production lots (per product),factor_230,,criterion,1,open
factor_232,Support for logistic lots (on palets and boxes),factor_230,,criterion,1,open
factor_233,Barcode support to encode and print lots labels,factor_230,,criterion,1,open
factor_234,Internal Moves,factor_215,,view,1,open
factor_235,Automatic propositions of internal pickings for manufacturing orders,factor_234,,criterion,1,open
factor_236,Barcode support,factor_215,,view,1,open
factor_237,Barcode support for pickings,factor_236,,criterion,1,open
factor_238,Barcode support for receptions,factor_236,,criterion,1,open
factor_239,Barcode support for manufacturing orders,factor_236,,criterion,1,open
factor_240,Barcode support for workcenters to track events,factor_236,,criterion,1,open
factor_241,Warehouse Organisation,factor_215,,view,1,open
factor_242,Capacity management per location and product,factor_241,,criterion,1,open
factor_243,Graphical representation of zones according to products usage,factor_241,,criterion,1,open
factor_244,Builtin interface with automated racks,factor_241,,criterion,1,open
factor_245,Periodical Inventories,factor_215,,view,1,open
factor_246,Allows to continue working on products when doing an inventory,factor_245,,criterion,1,open
factor_248,Support for total and partial inventories,factor_245,,criterion,1,open
factor_250,Traceability,factor_215,,view,1,open
factor_251,Traceability on manufactured lots (on products),factor_250,,criterion,1,open
factor_252,Traceability on logistic units (on palets/boxes),factor_250,,criterion,1,open
factor_253,Graphical upstream traceability graph or tree,factor_250,,criterion,1,open
factor_255,Tracebility up to the customer or supplier locations,factor_250,,criterion,1,open
